language,en,de,es,fr,ja,nl,pt,ar,ru,zh,uz,lt,ko,cs
en,English,Englisch,Inglés,Anglais,英語,Engels,Inglês,الإنجليزية,Английский,英语,Ingliz tili,Anglų,영어,Angličtina
es,Spanish,Spanisch,Español,Espagnol,スペイン語,Spaans,Espanhol,الإسبانية,Испанский,西班牙语,Ispan tili,Ispanų,스페인어,Španělština
de,German,Deutsch,Alemán,Allemand,ドイツ語,Duits,Alemão,الألمانية,Немецкий,德语,Nemis tili,Vokiečių,독일어,Němčina
fr,French,Französisch,Francés,Français,フランス語,Frans,Francês,الفرنسية,Французский,法语,Fransuz tili,Prancūzų,프랑스어,Francouzština
ja,Japanese,Japanisch,Japonés,Japonais,日本語,Japans,Japonês,اليابانية,Японский,日本語,Yapon tili,Japonų,일본어,Japonština
nl,Dutch,Niederländisch,Holandés,Néerlandais,オランダ語,Nederlands,Neerlandês,الهولندية,Голландский,荷兰语,Golland tili,Olandų,네덜란드어,Nizozemština
pt,Portuguese,Portugiesisch,Portugués,Portugais,ポルトガル語,Portugees,Português,البرتغالية,Португальский,葡萄牙语,Portugal tili,Portugalų,포르투갈어,Portugalština
ar,Arabic,Arabisch,Árabe,Arabe,アラビア語,Arabisch,Árabe,العربية,Арабский,阿拉伯语,Arab tili,Arabų,아랍어,Arabština
ru,Russian,Russisch,Ruso,Russe,ロシア語,Russisch,Russo,الروسية,Русский,俄语,Rus tili,Rusų,러시아어,Ruština
zh,Chinese,Chinesisch,Chino,Chinois,中国語,Chinees,Chinês,الصينية,Китайский,中文,Xitoy tili,Kinų,중국어,Čínština
uz,Uzbek,Usbekisch,Uzbeko,Ouzbek,ウズベク語,Oezbeeks,Usbeque,الأوزبكية,Узбекский,乌兹别克语,O'zbek tili,Uzbekų,우즈베크어,Uzbečtina
lt,Lithuanian,Litauisch,Lituano,Lituanien,リトアニア語,Litouws,Lituano,الليتوانية,Литовский,立陶宛语,Litva tili,Lietuvių,리투아니아어,Litevština
ko,Korean,Koreanisch,Coreano,Coréen,韓国語,Koreaans,Coreano,الكورية,Корейский,韩语,Koreys tili,Korėjiečių,한국어,Korejština
cs,Czech,Tschechisch,Checo,Tchèque,チェコ語,Tsjechisch,Checo,التشيكية,Чешский,捷克语,Chex tili,Čekų,체코어,Čeština
